region,latitude,longitude,crime_type,severity,hour,is_night,weather,is_weekend,safety_score,is_safe
Downtown,40.72859572145731,-74.01122860027154,Eve Teasing,2,23,1,Rain,0,58.49629055929973,1
Downtown,40.72024038270649,-74.02191314495876,Sexual Assault,8,0,1,Clear,0,69.54563482299656,1
Downtown,40.70209421920323,-73.99917376763543,Robbery,3,23,1,Clear,0,71.36631484412815,1
Downtown,40.71487612688228,-74.00749189159758,Assault,5,16,0,Clear,0,73.31542757709282,1
Downtown,40.70642260015749,-74.01130996955001,Robbery,3,14,0,Rain,0,58.40586588548997,1
Downtown,40.724741819625514,-74.00503454736462,Assault,5,1,1,Snow,1,70.15272852986766,1
Downtown,40.720759065048476,-73.99551469061493,Eve Teasing,2,23,1,Clear,0,50.00163088676456,1
Downtown,40.704016288129075,-74.0078099073894,Indecent Exposure,4,20,1,Clear,0,42.54332801006164,0
Downtown,40.71938544272673,-73.98589795461234,Stalking,4,22,1,Fog,1,47.381362579602616,0
Downtown,40.71382128920871,-74.00048932254523,Stalking,4,9,0,Clear,0,62.64543277795306,1
Downtown,40.677991911712404,-74.01470223242144,Indecent Exposure,4,14,0,Clear,1,65.38877607922947,1
Downtown,40.71412566067965,-74.0044263849871,Robbery,3,20,1,Clear,0,76.03713869390597,1
Downtown,40.721004821811974,-74.00092725968892,Indecent Exposure,4,14,0,Fog,1,82.31320579909178,1
Downtown,40.711213255562896,-74.00641621493293,Harassment,3,21,1,Clear,0,66.94852821201847,1
Downtown,40.705904596789196,-74.00105044482439,Verbal Abuse,2,17,0,Clear,0,70.56056647828856,1
Downtown,40.693874540146965,-74.00883109001235,Eve Teasing,2,13,0,Rain,0,71.52534693759479,1
Downtown,40.71529383683711,-73.99022546720236,Indecent Exposure,4,13,0,Rain,0,56.179726587925714,1
Downtown,40.719567702707174,-74.00081360352387,Indecent Exposure,4,18,1,Clear,0,72.70425217116643,1
Downtown,40.694700410990194,-73.99634985038936,Eve Teasing,2,9,0,Rain,0,58.75293276837897,1
Downtown,40.73190804588459,-73.99496333057475,Assault,5,3,1,Fog,1,59.13451911478657,1
Downtown,40.72845524029235,-74.00665750261074,Eve Teasing,2,1,1,Clear,0,82.25416275055466,1
Downtown,40.724459137153715,-74.01142604841759,Assault,5,0,1,Clear,0,65.88952272609703,1
Downtown,40.71057587221544,-74.01746958628733,Indecent Exposure,4,4,1,Rain,0,73.77101978786293,1
Downtown,40.728292094765266,-74.01716585804255,Robbery,3,20,1,Fog,1,61.56311652062217,1
Downtown,40.7002846057581,-73.99156235395927,Sexual Assault,8,8,0,Clear,0,53.28656990269028,1
Downtown,40.70093358482635,-74.00970209422813,Verbal Abuse,2,12,0,Clear,0,63.413445041314134,1
Downtown,40.725292017674875,-74.00108595432981,Robbery,3,6,0,Clear,1,65.2330760088587,1
Downtown,40.69700276929289,-74.01173889482335,Harassment,3,0,1,Clear,0,68.65506734826693,1
Downtown,40.708338165667854,-74.02489540730946,Sexual Assault,8,13,0,Clear,1,60.35608923386262,1
Downtown,40.72022084588524,-73.99660151896471,Indecent Exposure,4,12,0,Rain,0,77.15155008871754,1
Downtown,40.736820262818355,-74.00622603089445,Harassment,3,9,0,Snow,0,73.46013544671268,1
Downtown,40.70499525993675,-74.01071108172303,Eve Teasing,2,10,0,Rain,1,65.62502733249475,1
Downtown,40.70708821010217,-74.00027417218644,Verbal Abuse,2,6,0,Clear,0,75.75124275217289,1
Downtown,40.72160296249253,-73.99124146719512,Verbal Abuse,2,14,0,Snow,0,67.10567977628585,1
Downtown,40.7070053672593,-73.99510990018216,Harassment,3,15,0,Fog,1,80.23684199440605,1
Downtown,40.717441346602236,-74.01179700911473,Stalking,4,12,0,Rain,0,78.51478429473508,1
Downtown,40.70628581996386,-74.01083885834055,Eve Teasing,2,15,0,Clear,0,64.75895121847499,1
Downtown,40.71655251255619,-74.01162993671535,Robbery,3,14,0,Clear,0,70.71193920567963,1
Downtown,40.70152172779499,-74.00035722611973,Eve Teasing,2,13,0,Rain,0,64.18149268511942,1
Downtown,40.716317546765936,-74.00691759323999,Stalking,4,8,0,Clear,0,61.63377272678839,1
Downtown,40.7150445181856,-73.99552901697388,Indecent Exposure,4,11,0,Clear,0,70.02789721040756,1
Downtown,40.71719302757682,-74.01488210755447,Eve Teasing,2,1,1,Clear,0,78.16943563232562,1
Downtown,40.716816255054916,-74.01285610281082,Stalking,4,14,0,Rain,1,51.369603414488786,1
Downtown,40.71658568868095,-74.00707325995596,Indecent Exposure,4,13,0,Rain,0,38.901582070170996,0
Downtown,40.72428765700372,-74.02339713778778,Sexual Assault,8,19,1,Clear,0,57.6404808079997,1
Downtown,40.72817611560074,-74.02006284628584,Sexual Assault,8,14,0,Clear,0,82.16765480314388,1
Downtown,40.6918484247732,-74.00345826107754,Verbal Abuse,2,9,0,Clear,0,59.473720050937985,1
Downtown,40.697674044991615,-74.02236724991299,Sexual Assault,8,7,0,Clear,0,52.034982325191706,1
Downtown,40.72310283454032,-74.00361210840974,Eve Teasing,2,12,0,Fog,1,77.05691460081431,1
Downtown,40.7082899496987,-74.00450822739656,Eve Teasing,2,13,0,Clear,1,61.78376863954037,1
Downtown,40.70691236463794,-74.00590708247469,Stalking,4,11,0,Fog,0,60.223198541057926,1
Downtown,40.71680114474648,-74.0045196824184,Assault,5,11,0,Clear,0,65.67753572762163,1
Downtown,40.72388182816738,-74.01639905927125,Verbal Abuse,2,14,0,Clear,0,48.2570227946137,0
Northside,40.73303892317242,-74.0695480732522,Assault,5,15,0,Clear,0,37.792095810635615,0
Northside,40.737829655291144,-74.07452379244549,Verbal Abuse,2,22,1,Rain,0,32.810274774638735,0
Northside,40.73571740273394,-74.06920815132284,Indecent Exposure,4,15,0,Clear,1,46.8064546427544,0
Northside,40.72755861653407,-74.07431237589697,Sexual Assault,8,14,0,Snow,0,63.15372684826906,1
Northside,40.72034646857488,-74.06858525370052,Indecent Exposure,4,15,0,Clear,0,48.02398844238225,0
Northside,40.72940499958789,-74.0878867433313,Robbery,3,16,0,Clear,1,43.611374128053285,0
Northside,40.73891400910374,-74.05547808690616,Harassment,3,10,0,Rain,0,24.804444510228315,0
Northside,40.74462015160137,-74.06750182910658,Indecent Exposure,4,10,0,Clear,0,56.119877138106446,1
Northside,40.729909709715685,-74.10176451765213,Assault,5,15,0,Clear,0,28.693266325847357,0
Northside,40.72567314311999,-74.073679154703,Verbal Abuse,2,17,0,Rain,1,39.66896075135487,0
Northside,40.72392675317432,-74.07298303081876,Stalking,4,10,0,Clear,0,40.33185054210218,0
Northside,40.73738316606003,-74.09330500603623,Sexual Assault,8,9,0,Fog,0,68.47047483372731,1
Northside,40.72883165459307,-74.07430684214849,Assault,5,11,0,Snow,1,34.41360650602918,0
Northside,40.7421741470306,-74.0783514416681,Verbal Abuse,2,15,0,Clear,0,48.948257444077015,0
Northside,40.73233056533786,-74.07180709855696,Harassment,3,10,0,Clear,0,70.46048333404475,1
Northside,40.71576136764609,-74.08452905197797,Indecent Exposure,4,11,0,Fog,1,56.60682495697125,1
Northside,40.733897938119036,-74.08327755063175,Robbery,3,9,0,Rain,1,55.28838295412812,1
Northside,40.72465892358552,-74.07306462166255,Verbal Abuse,2,13,0,Clear,1,49.32192651465405,0
Northside,40.71630054946635,-74.07025755710298,Harassment,3,8,0,Clear,0,50.58740752611842,1
Northside,40.720163254320305,-74.06120883194556,Harassment,3,12,0,Snow,0,31.47835553375275,0
Northside,40.72300146608451,-74.09409082333934,Sexual Assault,8,11,0,Rain,0,55.42608835636487,1
Northside,40.717192207171635,-74.08471298624761,Indecent Exposure,4,9,0,Clear,0,55.45735132540341,1
Northside,40.730254285962715,-74.09105368452236,Harassment,3,14,0,Clear,1,39.79086180663315,0
Northside,40.74047668992473,-74.08969641018692,Indecent Exposure,4,14,0,Clear,0,53.24014830598352,1
Northside,40.721910711088114,-74.08584968376933,Verbal Abuse,2,10,0,Clear,1,25.48881525151143,0
Northside,40.71905040932217,-74.07678723157234,Robbery,3,8,0,Rain,0,46.614398632876984,0
Northside,40.73203611970788,-74.08673198905782,Harassment,3,17,0,Clear,0,44.799811006555714,0
Northside,40.74033097699979,-74.0761828308636,Stalking,4,7,0,Snow,1,42.17819420974751,0
Northside,40.738219275489556,-74.08998162774806,Robbery,3,4,1,Clear,1,47.980522101071756,0
Northside,40.721157122918086,-74.07998880747867,Robbery,3,1,1,Clear,0,45.24852338244644,0
Northside,40.72723726691798,-74.07394699006979,Stalking,4,9,0,Clear,1,46.93330666952733,0
Northside,40.729018293585476,-74.07858889653191,Eve Teasing,2,18,1,Clear,1,59.02072147217844,1
Northside,40.7236989886631,-74.08306260171031,Stalking,4,14,0,Clear,1,41.38614232818162,0
Northside,40.72870535815594,-74.0758950276496,Stalking,4,8,0,Rain,0,54.81068653674703,1
Northside,40.73121722512683,-74.07473082571327,Harassment,3,13,0,Clear,0,34.76580689649354,0
Northside,40.72876649924897,-74.07230307245644,Sexual Assault,8,7,0,Clear,0,43.843778850425444,0
Northside,40.73452621299784,-74.07710946590726,Indecent Exposure,4,6,0,Clear,1,41.261726059505676,0
Northside,40.72131333245037,-74.07822656956203,Verbal Abuse,2,7,0,Clear,1,42.692995868045216,0
Northside,40.72559659509278,-74.08529768877881,Stalking,4,15,0,Rain,0,32.69224454233919,0
Northside,40.732569381697466,-74.06569353725214,Indecent Exposure,4,3,1,Clear,1,39.3954490172006,0
Northside,40.73493565143187,-74.06045472931807,Eve Teasing,2,8,0,Rain,1,53.77078769350587,1
Northside,40.736986435097265,-74.06997801599208,Stalking,4,10,0,Clear,1,34.4061445619086,0
Northside,40.741876573314705,-74.08753456226057,Sexual Assault,8,9,0,Clear,0,48.869652988545425,0
Northside,40.72804690150827,-74.071807085004,Robbery,3,8,0,Clear,0,50.793992391740034,1
Northside,40.723617834806994,-74.07027654945578,Stalking,4,9,0,Rain,0,38.13084244207512,0
Northside,40.73104889892572,-74.07552906137768,Stalking,4,10,0,Clear,0,32.61704311623954,0
Northside,40.726532759669134,-74.06951070799529,Harassment,3,5,1,Rain,1,48.25176796529064,0
Northside,40.74121741289399,-74.06198488803274,Eve Teasing,2,14,0,Rain,1,37.89547450165048,0
Northside,40.730792180183435,-74.06966943619344,Eve Teasing,2,11,0,Fog,0,44.698845328999006,0
Northside,40.720175072667885,-74.06461188675154,Stalking,4,3,1,Clear,1,57.277522598193,1
Northside,40.740145318745064,-74.06515966051866,Sexual Assault,8,23,1,Snow,1,38.89110108431411,0
Northside,40.738160476858056,-74.0851679508857,Sexual Assault,8,15,0,Clear,0,22.96839539174138,0
Northside,40.71939538035178,-74.06797800645406,Harassment,3,23,1,Rain,0,36.38616297643256,0
Northside,40.74275618690081,-74.05960728424981,Assault,5,17,0,Clear,1,44.471400457087,0
Northside,40.730217005599165,-74.0689979575798,Verbal Abuse,2,12,0,Rain,0,36.70962541646792,0
Northside,40.72598746376414,-74.0803681329989,Assault,5,13,0,Fog,0,23.704869258899585,0
Northside,40.7245980640539,-74.07457666258237,Sexual Assault,8,0,1,Snow,0,52.46187407314403,1
Northside,40.73708598880331,-74.07025550966513,Robbery,3,15,0,Clear,1,28.407553816108496,0
Northside,40.71102504265859,-74.08300153388375,Eve Teasing,2,2,1,Clear,1,47.94524742453856,0
Northside,40.74058283071434,-74.07738728423264,Robbery,3,15,0,Fog,0,48.14052967599859,0
Northside,40.7306396432128,-74.06758047732208,Robbery,3,11,0,Rain,1,36.41161227046906,0
Northside,40.736484545156955,-74.08686713102493,Robbery,3,8,0,Clear,0,47.05026687061879,0
Northside,40.73897953895106,-74.07000789000081,Harassment,3,9,0,Clear,1,32.06464256406336,0
Northside,40.726859828333275,-74.07745311805272,Stalking,4,8,0,Clear,1,50.83886294375313,1
Northside,40.73617802673049,-74.06633633139005,Assault,5,18,1,Fog,0,53.26994389117318,1
Northside,40.72002814533391,-74.09854120627664,Verbal Abuse,2,9,0,Fog,1,52.840331804651036,1
Northside,40.72408173845681,-74.09204557443525,Eve Teasing,2,16,0,Clear,0,41.060186366975785,0
Northside,40.74362109952568,-74.05753907111841,Verbal Abuse,2,12,0,Rain,0,28.38720506722232,0
Northside,40.72885593845683,-74.06669725493656,Eve Teasing,2,2,1,Clear,0,41.936465392286905,0
Northside,40.737678258028375,-74.07077965549956,Stalking,4,3,1,Clear,1,30.79015438927221,0
Northside,40.736024934947004,-74.083426368743,Indecent Exposure,4,12,0,Clear,0,36.22357580240425,0
Northside,40.71795813175671,-74.05905907433666,Eve Teasing,2,15,0,Snow,1,43.28750824562914,0
Northside,40.71443308459362,-74.07042009690085,Eve Teasing,2,12,0,Clear,0,48.03780309490506,0
Northside,40.73852963947153,-74.0795494520843,Sexual Assault,8,9,0,Clear,0,61.755473935444854,1
Northside,40.73151971733954,-74.0824675700851,Robbery,3,12,0,Clear,0,46.56378122918278,0
